image,output,flag,username,timestamp
/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/image/647b3eae1b5de7ff9af1fcf18977a248ccb1059c/tmpx83hapeo.png,/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/output/tmp0xq55oh3.json,,,2023-11-12 22:17:46.941069
/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/image/53633f4ed458397f254f260f467fab7647f88650/tmp9lct3l12.png,/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/output/tmplcc78rjq.json,,,2023-11-12 22:21:57.103141
/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/image/e5808a87ee11fdc3c8f4f9ae2a3fd4da14ed4667/tmpu2228igi.png,/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/output/tmp4beap1_o.json,,,2023-11-12 22:23:00.873156
/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/image/53a0e96f2927c35e28f3d081c2dd86b61b8708db/tmpoi8yak7h.png,/Users/tohyeeb/Documents/Projects/Python/ML_GUI_app/flagged/output/tmpxcwmspxi.json,,,2023-11-12 22:44:25.003409
